Clase,Loudness,Duration,Spectral Energy,Zero Crossing Rate,Spectral Centroid,Spectral Bandwidth,Spectral Contrast,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20
ARTIFICIAL,-40.812923431396484,7.56,0.08204542,0.12289409988496933,2086.094606130661,2009.0911438217347,21.9054541830059,-284.1204833984375,83.54174041748047,11.547930717468262,18.288124084472656,12.496685028076172,-3.6932029724121094,-5.049776077270508,-7.070954322814941,-13.157858848571777,-9.20188045501709,-14.38275146484375,-0.3198260962963104,-10.897404670715332,-0.7664272785186768,0.8211647272109985,-6.418786525726318,-5.188357353210449,0.29769909381866455,-7.795783042907715,-1.8959556818008423
ARTIFICIAL,-33.25604550471478,7.56,0.08328661,0.23503103431748465,3332.4624851192934,2889.6200339380607,16.14942222299501,-194.41822373629148,53.7877546793438,16.54372962047989,12.74276258163313,8.124087448557695,-1.1968782058134118,-7.075061718082922,-6.120474680252412,-10.13469921896595,-10.99703150943873,-9.228342811176681,-4.136366967738583,-7.689983456450677,-2.5630000129057935,-0.8301774177053503,-4.667700250980312,-4.670635051883656,-1.1053335273963834,-4.652738773169701,-4.101005165198429
ARTIFICIAL,-40.121524810791016,7.56,0.056395784,0.1153601898006135,1980.8958001790527,2097.4076089564123,23.521708814042604,-307.9568176269531,85.02579498291016,11.350808143615723,20.502103805541992,14.35209846496582,-6.902015209197998,-8.776556015014648,-7.260986328125,-12.592639923095703,-10.377099990844727,-15.3707914352417,-1.0407207012176514,-11.934268951416016,-1.489891767501831,0.08036022633314133,-6.782617568969727,-5.454988479614258,0.6621843576431274,-8.312901496887207,-2.478273868560791
ARTIFICIAL,-41.5161247253418,7.56,0.081233144,0.12043172450153375,2066.872561733951,1988.1416723753027,21.819146901027906,-289.6170654296875,82.55213165283203,10.84375286102295,18.084693908691406,12.512383460998535,-3.804452657699585,-5.194393157958984,-6.975650310516357,-12.634292602539062,-8.89545726776123,-14.227802276611328,-0.34098342061042786,-10.921548843383789,-0.756579577922821,0.7965089678764343,-6.419055461883545,-5.059439659118652,0.27175265550613403,-7.724820613861084,-1.784785509109497
ARTIFICIAL,-38.70840072631836,7.56,0.0593873,0.11283041363113497,2009.689196503126,2124.9340452827378,23.50729954660153,-294.9520568847656,90.6040267944336,11.425749778747559,18.150135040283203,9.895221710205078,-8.41424560546875,-8.374122619628906,-10.422350883483887,-14.585691452026367,-11.830522537231445,-13.536615371704102,-1.2449678182601929,-12.781471252441406,1.3583134412765503,-2.1117286682128906,-7.908929347991943,-3.571229934692383,-1.7453504800796509,-8.733746528625488,-2.781378746032715
ARTIFICIAL,-36.58743667602539,7.56,0.11027609,0.10122100268404909,2139.8356310136714,2249.430482843993,20.934133897018373,-229.828369140625,97.04891204833984,0.8738144040107727,24.07013511657715,7.515373229980469,-1.7326682806015015,-3.0166893005371094,2.4455928802490234,-11.597966194152832,-6.879229545593262,-0.33071208000183105,-6.99282693862915,-3.391996145248413,-0.7743468880653381,-4.77585506439209,1.0928447246551514,-7.381740093231201,-1.6808539628982544,-4.640883445739746,-2.401933431625366
ARTIFICIAL,-29.658556798998546,7.56,0.113274045,0.22465880224309817,3370.2639155352617,2962.0078931064972,15.297828781196761,-128.63154859150413,58.168305376512286,11.473371591504497,13.796496166810195,7.54486721951422,-2.046130518422718,-0.9504406122028821,-1.1450897273761431,-9.013689763006646,-6.045832796257337,-1.9444553611918995,-4.360702051053244,-3.0380912254318764,-1.6034913722168886,-2.8226938228776484,-1.7888493442354008,-4.2267278465088385,-3.9390420508608632,-3.0882321870053153,-4.352201905271381
ARTIFICIAL,-37.15494155883789,7.56,0.07631399,0.11038002060966258,2149.582895162778,2299.027913458948,22.041537687378955,-252.89382934570312,96.81787872314453,1.1678743362426758,20.640056610107422,4.0779595375061035,-3.9432334899902344,-5.8358635902404785,0.33706122636795044,-12.845589637756348,-6.811738967895508,-0.7676429748535156,-6.915572166442871,-4.367812156677246,-0.454336017370224,-4.208837985992432,1.131035327911377,-8.927882194519043,-2.3512251377105713,-4.834338188171387,-3.7859344482421875
ARTIFICIAL,-35.50217819213867,7.56,0.113014616,0.10282963477760736,2135.131464019852,2236.259188066043,20.975989068863626,-220.85084533691406,98.15768432617188,1.2396830320358276,24.194290161132812,7.467744827270508,-1.7007091045379639,-2.977712392807007,2.415052652359009,-12.055850982666016,-7.108937740325928,-0.3978487253189087,-6.882593631744385,-3.399282217025757,-0.6564070582389832,-4.671422004699707,1.0560739040374756,-7.421138763427734,-1.7177255153656006,-4.787649154663086,-2.4266200065612793
ARTIFICIAL,-36.4793586730957,7.56,0.07425789,0.10600645849309816,2094.9222817498667,2253.6687500587605,22.371613204500683,-242.01806640625,99.24765014648438,-2.254838705062866,22.39446449279785,1.680651307106018,-6.3563313484191895,-4.628100872039795,-0.8955010771751404,-15.394354820251465,-5.2204203605651855,-1.3450509309768677,-7.945188045501709,-1.8483017683029175,-1.9300103187561035,-5.240735054016113,-1.2679306268692017,-8.515238761901855,-1.8398126363754272,-5.416781425476074,-4.199479579925537
