20356,1.71,-1.15,0.18,-22.83,5.13,10.07
20361,1.72,-1.16,0.19,-18.31,5.31,12.33
20366,1.72,-1.15,0.18,-20.57,5.19,11.35
20371,1.73,-1.15,0.18,-19.78,5.86,11.90
20376,1.72,-1.16,0.20,-19.78,5.74,12.51
20381,1.72,-1.15,0.19,-20.45,5.68,13.24
20386,1.72,-1.15,0.19,-19.17,4.15,13.24
20391,1.72,-1.15,0.22,-17.76,5.86,13.55
20396,1.71,-1.15,0.21,-19.84,5.92,12.33
20401,1.71,-1.14,0.17,-18.98,3.23,13.98
20406,1.71,-1.15,0.19,-20.63,2.44,12.94
20411,1.71,-1.16,0.20,-19.65,0.73,10.74
20416,1.71,-1.15,0.19,-18.68,-1.22,7.81
20421,1.73,-1.14,0.18,-18.31,-0.43,7.08
20426,1.72,-1.14,0.17,-18.25,0.43,11.66
20431,1.73,-1.12,0.18,-17.94,4.33,14.83
20436,1.73,-1.13,0.19,-17.70,2.87,22.40
20441,1.73,-1.11,0.19,-17.58,3.72,25.82
20446,1.72,-1.14,0.19,-17.40,5.00,26.61
20451,1.72,-1.14,0.20,-17.70,2.62,28.69
20456,1.71,-1.14,0.19,-17.88,2.08,27.34
20461,1.72,-1.16,0.18,-18.13,2.26,26.18
20466,1.70,-1.16,0.20,-18.80,2.32,25.21
20471,1.72,-1.15,0.19,-18.43,2.01,27.59
20476,1.73,-1.15,0.18,-17.58,1.10,29.05
20481,1.72,-1.15,0.19,-18.49,2.93,29.17
20486,1.72,-1.15,0.18,-17.46,3.48,31.31
20491,1.71,-1.15,0.19,-15.38,3.97,32.23
20496,1.71,-1.16,0.18,-16.78,3.30,31.68
20501,1.71,-1.17,0.18,-16.24,2.32,27.40
20506,1.71,-1.15,0.20,-16.36,1.89,26.49
20511,1.71,-1.16,0.19,-14.83,1.59,28.20
20516,1.72,-1.15,0.18,-16.85,1.83,29.24
20521,1.72,-1.15,0.19,-15.81,3.85,30.15
20526,1.73,-1.15,0.20,-15.99,2.62,31.68
20531,1.71,-1.15,0.20,-15.81,4.33,33.69
20536,1.71,-1.16,0.21,-15.93,5.13,34.36
20541,1.71,-1.15,0.19,-17.52,4.70,33.94
20546,1.71,-1.16,0.21,-16.42,4.88,32.53
20551,1.70,-1.18,0.20,-18.86,4.27,34.12
20556,1.71,-1.17,0.18,-19.41,2.93,30.82
20561,1.71,-1.18,0.19,-16.24,1.04,26.37
20566,1.72,-1.17,0.19,-17.64,2.44,24.78
20571,1.72,-1.17,0.18,-17.27,4.03,24.84
20576,1.71,-1.16,0.19,-18.98,4.94,26.18
20581,1.71,-1.15,0.20,-16.78,6.65,27.59
20586,1.71,-1.17,0.20,-19.78,4.76,28.63
20591,1.71,-1.16,0.20,-18.25,4.39,28.02
20596,1.71,-1.16,0.20,-19.47,5.00,30.27
20601,1.70,-1.16,0.20,-20.51,4.58,29.30
20606,1.70,-1.17,0.20,-20.51,2.56,24.60
20611,1.71,-1.18,0.20,-20.45,2.01,23.68
20616,1.71,-1.17,0.21,-20.75,2.32,23.68
20621,1.70,-1.17,0.18,-20.45,4.21,23.13
20626,1.72,-1.17,0.20,-21.97,3.78,22.64
20631,1.71,-1.18,0.21,-20.57,4.58,21.12
20636,1.70,-1.17,0.20,-21.73,3.36,20.08
20641,1.71,-1.17,0.18,-22.34,2.20,19.96
20646,1.70,-1.18,0.19,-22.46,2.14,17.76
20651,1.70,-1.19,0.20,-20.87,1.89,16.85
20656,1.70,-1.18,0.20,-21.00,2.87,14.71
20661,1.70,-1.17,0.19,-22.09,2.50,14.10
20666,1.70,-1.17,0.19,-20.87,3.05,13.55
20671,1.71,-1.18,0.20,-20.81,0.79,12.82
20676,1.70,-1.16,0.20,-20.63,1.95,10.80
20681,1.71,-1.17,0.19,-21.48,1.59,12.57
20686,1.72,-1.18,0.19,-19.96,1.10,11.54
20691,1.72,-1.17,0.19,-21.30,3.05,10.93
20696,1.70,-1.17,0.20,-20.87,1.34,13.49
20701,1.71,-1.15,0.18,-20.75,1.34,13.98
20706,1.70,-1.15,0.21,-19.41,1.16,14.65
20711,1.71,-1.14,0.20,-20.63,2.14,17.76
20716,1.72,-1.15,0.19,-21.42,1.16,19.10
20721,1.71,-1.16,0.19,-22.64,1.53,20.94
20726,1.72,-1.15,0.17,-23.56,3.97,21.55
20731,1.71,-1.17,0.19,-23.50,1.10,19.59
20736,1.71,-1.16,0.19,-22.58,-0.24,22.09
20741,1.71,-1.17,0.20,-21.55,0.18,22.28
20746,1.72,-1.16,0.20,-22.22,0.24,22.64
20751,1.71,-1.17,0.18,-24.17,1.95,25.15
20756,1.71,-1.17,0.19,-21.61,1.89,23.56
20761,1.70,-1.17,0.21,-23.99,0.24,25.45
20766,1.70,-1.17,0.20,-24.17,0.00,26.67
20771,1.71,-1.17,0.20,-23.99,-1.46,23.99
20776,1.69,-1.19,0.18,-23.32,-1.10,21.06
20781,1.71,-1.19,0.19,-25.39,1.59,17.58
20786,1.71,-1.18,0.19,-24.78,-0.37,17.09
20791,1.70,-1.18,0.20,-24.17,1.10,13.18
20796,1.69,-1.19,0.19,-24.17,1.34,10.25
