,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate,sujeto,inicio_ventana,fin_ventana,duracion_ventana,#cortes,cortes_por_segundo
0,422.78529837074825,10.0,584.1285046881795,0.0520788905245284,0.00179875839747031,0.04833364096419246,-0.001147361608393127,33.0,33.0,34.0,1000.9228326105917,0.000605436748978589,52.02681163400388,35.0,andres,4.2,9.2,4.999999999999999,34,6.800000000000002
1,429.40575503162546,8.0,398.8943498104858,0.05875812838742352,-0.00017944400883859081,0.05897925121127379,-0.0072218765031969445,32.0,31.0,32.0,1001.3138484946896,-0.00043786292723240524,58.699370259036094,44.0,andres,9.2,14.2,5.0,32,6.4
2,443.07980567651055,8.0,465.0837675981466,0.07700609736980785,-0.0001143526054734125,0.07415870687726384,0.006193359273889254,35.0,34.0,34.0,1003.0366334411057,-0.0006972399170630183,76.92909127243804,57.0,andres,14.2,19.2,5.0,34,6.8
3,544.4969419700474,7.0,537.0800795006268,0.10559029800546192,-0.0005905395691858775,0.10880003005900547,-0.0012237958773992919,34.0,34.0,35.0,1006.1510968282546,0.00046365181182009176,105.48470770745647,69.0,andres,19.199999999999996,24.199999999999996,5.0,35,7.0
4,524.3616027399062,8.0,469.1643096466492,0.09314677451342097,0.0010200674280098827,0.09469374342289844,0.0029070601498195625,33.0,33.0,34.0,1004.6175227442345,5.2995049330333665e-05,93.05362773890755,61.0,andres,24.199999999999996,29.199999999999996,5.0,34,6.8
5,452.4440128505647,10.0,511.98929835565656,0.06122001532022755,-0.0005176005730072435,0.05893741382640447,-0.0022197726753594438,33.0,32.0,33.0,1001.5008679895611,-0.0007247302917786608,61.15879530490732,43.0,andres,29.199999999999996,34.199999999999996,5.0,33,6.6
6,463.6908511223155,8.0,528.3286350183305,0.08431711299354037,-0.00018959301630420503,0.08696888518854373,-0.002373815321813022,33.0,33.0,33.0,1003.5832553195976,0.0005093303050465867,84.23279588054683,64.0,andres,34.199999999999996,39.199999999999996,5.0,33,6.6
7,423.5699308391965,8.0,472.8787544493901,0.07002686810917837,0.0007849368113279104,0.06864392574531375,-3.0257645094011743e-05,33.0,33.0,33.0,1002.315149267195,-0.00011250272714167152,69.95684124106918,55.0,andres,39.199999999999996,44.199999999999996,5.0,33,6.6
8,440.9480510041331,8.0,612.317111260034,0.07520378034409422,0.0001679700203160264,0.0759081428101388,0.0006980438173408432,33.0,32.0,34.0,1002.6688714252772,0.0006751264225849792,75.12857656375013,56.0,andres,44.199999999999996,49.199999999999996,5.0,34,6.8
9,450.4588881111464,8.0,504.9117561199808,0.07674484467037263,-0.00044494548620103893,0.07739687377365057,-0.0036602817116719866,34.0,32.0,34.0,1002.9043305776845,-0.0002430421154630907,76.66809982570226,54.0,andres,49.199999999999996,54.199999999999996,5.0,31,6.2
10,407.5845769857436,8.0,451.281599775238,0.06700696224617857,0.0005605395095248158,0.06554951155347999,-0.0073537504604515025,32.0,31.0,31.0,1002.0196674422697,0.00030835669701480994,66.93995528393239,55.0,andres,54.199999999999996,59.199999999999996,5.0,31,6.2
11,439.40782889301187,8.0,595.7333224376576,0.07138657868152107,0.00036727807010375425,0.06923999402189074,-0.00632025665703273,33.0,32.0,32.0,1002.4096211900585,0.0007318048813629183,71.31519210283955,56.0,andres,59.199999999999996,64.19999999999999,4.999999999999993,32,6.400000000000009
12,72.50847474934498,9.0,64.85079779974491,0.06558341025287473,-0.01889386636514261,0.0683894576218923,-0.029488866433771438,3.0,3.0,4.0,115.31534252625809,-0.0059348603838476465,7.542092179080593,3.0,andres,64.19999999999999,64.78,0.5800000000000125,4,6.896551724137782
