,Unnamed: 0,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate,sujeto,inicio_ventana,fin_ventana,duracion_ventana,#cortes,cortes_por_segundo,labels
10,10,616.6741310465252,9.0,561.5798487217323,0.074233685388766,0.000741180893163,0.0747887000822351,0.0195048418707607,31.0,29.0,30.0,1002.6229279296954,0.000665672112212,74.1594517033773,32.0,ariana,18.5,23.5,5.0,30,6.0,1
11,11,708.2565647125894,8.0,509.9079837079797,0.0713104180015604,0.0002610828797282,0.0677875022694124,0.0278104733834949,30.0,29.0,29.0,1002.3227276518262,0.0001543294266398,71.2391075835589,26.0,ariana,23.5,28.5,5.0,29,5.8,1
12,12,663.7664356435425,8.0,492.04274745104993,0.0776985160506551,-1.8123649250965377e-05,0.0747901675134035,0.0267757605626783,27.0,26.0,27.0,1002.9497616478186,4.4367089258762935e-05,77.6208175346045,38.0,ariana,28.5,33.5,5.0,27,5.4,1
13,13,559.4969251403795,8.0,416.1695337118762,0.0778349830343657,-0.0014430416164995,0.0776225005062835,0.0118818659565178,30.0,28.0,30.0,1003.0024923702651,-0.0003987391299244,77.7571480513314,55.0,ariana,33.5,38.5,5.0,29,5.8,0
14,14,278.55410956997844,8.0,322.4072892308989,0.0817087864523004,-0.0007893198584962,0.0846291744638003,0.0030093794467717,14.0,14.0,15.0,527.3072654396043,0.0009116103993972,42.89711288745775,29.0,ariana,38.5,41.13,2.6300000000000026,15,5.703422053231933,1
15,15,831.050961018293,8.0,446.47418434237386,0.1075781835546875,0.00268674899938,0.109297220357249,0.0203808036416381,29.0,29.0,29.0,1006.3552594847672,-0.0004101906370374,107.47060537113288,49.0,carlos,5.6,10.6,5.0,29,5.8,0
16,16,704.4908211672955,8.0,459.484448355692,0.1089042908880985,-0.0015114691072706,0.1092208565333152,0.0348535279962938,27.0,27.0,28.0,1006.3641278582888,-0.000187006402646,108.79538659721044,53.0,carlos,10.6,15.6,5.0,28,5.6,1
17,17,641.5858109683039,8.0,501.92382497136987,0.0935460402068675,4.394953521255448e-05,0.0894902590458262,0.0348293733083913,27.0,26.0,26.0,1004.7332319335944,-1.818694719657435e-05,93.4524941666607,50.0,carlos,15.6,20.6,5.000000000000002,26,5.199999999999998,1
18,18,554.0605654756887,8.0,509.5088610166268,0.0863724594599223,0.0003811480764908,0.0790653610951748,0.0353472643026155,26.0,24.0,26.0,1004.1750795492874,-0.0001107871073106,86.28608700046243,49.0,carlos,20.6,25.6,5.0,26,5.2,0
19,19,612.464931503569,9.0,472.9112356088055,0.0927671659133374,0.0007055679197498,0.086593749579331,0.0380247594580272,25.0,22.0,26.0,1004.7536776628316,-9.35315231610415e-05,92.67439874742408,44.0,carlos,25.6,30.6,5.0,24,4.8,1
20,20,526.9776785350462,8.0,506.2733608371423,0.0904224700520288,-0.000325375839015,0.0811633600726806,0.0319394326782739,33.0,25.0,32.0,1004.8947131728776,1.4331631119337616e-05,90.3320475819768,50.0,carlos,30.6,35.6,5.0,28,5.6,0
21,21,189.11676090937348,9.0,188.92870099747776,0.0905281555811304,-0.0066165760077013,0.0768405208010743,0.0159670984064112,10.0,6.0,10.0,306.9151656597791,-0.0004611607118016,27.611087452244792,13.0,carlos,35.6,37.13,1.5300000000000011,7,4.575163398692807,1
22,22,479.3877079505009,10.0,443.279715926344,0.0649743996750778,0.0005503764989837,0.0625786263650761,-0.0124239581088732,31.0,27.0,30.0,1001.9924002246544,0.0010670558218082,64.90942527540275,48.0,dafne,9.25,14.25,5.0,24,4.8,0
23,23,419.9790572042168,7.0,512.5029641713393,0.0706007866216371,0.0005394505436892,0.0700130561085302,-0.0207031662524957,29.0,29.0,29.0,1002.2346207834188,0.0001038786547485,70.53018583501552,55.0,dafne,14.25,19.25,5.0,29,5.8,0
24,24,484.8808654562573,8.0,541.6146256223236,0.0777869147982455,0.0007516165737219,0.0787834026693453,-0.0221482420744909,28.0,26.0,29.0,970.7705670664,0.0005157179283656,75.21994660990339,52.0,dafne,19.25,24.25,5.0,29,5.8,0
25,25,523.0554071222978,8.0,458.98675007931496,0.0847523596775697,-0.0012755276702156,0.0866873021024464,-0.024412490712476,29.0,28.0,28.0,1003.493440538718,-0.0002859118601321,84.66760731789219,57.0,dafne,24.25,29.25,5.0,28,5.6,1
26,26,424.6385871044257,8.0,379.53773129000206,0.0883762400502938,0.0002555929353225,0.0883729494543734,-0.025264117193792,20.0,20.0,21.0,764.845836560308,0.0001092068840351,67.25431867827359,39.0,dafne,29.25,34.25,5.0,21,4.2,1
27,27,477.71792657078345,10.0,432.2393748383925,0.0797397655268397,0.0001633697890033,0.0745074930660621,-0.0186456492693267,22.0,21.0,21.0,815.5981310426746,-0.000148474419297,64.74868960779389,39.0,dafne,34.25,39.25,5.0,20,4.0,1
28,28,253.3984786878948,12.0,176.48913513829316,0.0750094582433223,-0.0044170741272778,0.0756240939190413,-0.0169710235506163,8.0,8.0,8.0,343.3455955838074,-0.0042957447625972,25.65323471921623,13.0,dafne,39.25,41.0,1.75,8,4.571428571428571,0
29,29,670.9562890789397,7.0,491.9421123633245,0.0893960360415487,0.0013418070576601,0.0961317929096766,-0.0010948661869101,31.0,31.0,31.0,1003.9625703889952,-7.967310592195335e-05,89.30664000550723,47.0,hussein,8.1,13.1,5.0,31,6.2,0
