,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate,sujeto,inicio_ventana,fin_ventana,duracion_ventana,#cortes,cortes_por_segundo
0,572.768724616725,101.0,456.72699433195834,0.05498592121944751,0.0017470868037213075,0.05228049957575964,0.0014311340725711164,32.0,32.0,32.0,1001.1067360335445,0.0016762575878908972,54.930935298228064,33.0,andres,5.2,10.2,4.999999999999999,31,6.200000000000001
1,638.3909573591159,9.0,539.3403976018164,0.05438366686349458,0.0007751352265600645,0.05067318763199169,0.002006085302724059,35.0,35.0,35.0,1001.1050185269609,0.0002303786455198076,54.32928319663108,18.0,andres,10.2,15.2,5.0,35,7.0
2,638.3439185243642,9.0,466.8184622134322,0.06162613367828832,0.0005822563170853851,0.06035111671754065,0.0018988435104767554,34.0,32.0,34.0,1001.6240379760411,-0.00021013297445433976,61.56450754461003,22.0,andres,15.2,20.2,5.0,34,6.8
3,559.1769574265347,8.0,612.261252256486,0.07592345497906385,-0.001189958039430498,0.07307168029363159,-0.00031029342538557714,34.0,34.0,34.0,1002.8985235618879,0.0005052600750234271,75.84753152408479,48.0,andres,20.199999999999996,25.199999999999996,5.0,34,6.8
4,542.8469423249165,8.0,456.5691974586858,0.07247851187403348,-0.00021375423710679443,0.07329333809700966,0.001786434506954926,33.0,33.0,33.0,1002.4532773203102,-0.0001558835591027726,72.40603336215945,39.0,andres,25.199999999999996,30.199999999999996,5.0,33,6.6
5,472.79267226304916,8.0,410.80061030454544,0.07286395026495696,0.0007789073296808175,0.07344836234544845,-0.0006448858328654827,32.0,31.0,32.0,1002.5599958024123,-0.0003216537438418841,72.791086314692,55.0,andres,30.199999999999996,35.199999999999996,5.0,32,6.4
6,78.87002079584636,10.0,135.20277210252453,0.056355976612726136,-0.010599236402087665,0.04687572661695438,-0.012517432150823321,5.0,5.0,5.0,179.4208284219104,-0.006045177370774901,10.087719813677978,9.0,andres,35.199999999999996,36.1,0.9000000000000057,4,4.444444444444416
7,430.30448721346795,7.0,417.5346544269805,0.06622052638236123,0.0009256626267364914,0.07005841067136456,0.004010150882958113,35.0,34.0,34.0,1001.8302829642412,0.00026718929968599285,66.15430585597886,46.0,ariana,3.5,8.5,5.0,23,4.6
8,346.86666258484036,7.0,502.8213435375221,0.06682874699616709,0.00022199979943235502,0.0723411827134387,0.00132042137298638,33.0,32.0,33.0,1001.8155310717032,0.0002689754393015677,66.76191824917092,64.0,ariana,8.5,13.5,5.0,32,6.4
9,393.1658948507836,7.0,518.6730123144346,0.07477411359039303,0.0003103123097089182,0.07828270699261725,0.005105238204705875,32.0,31.0,33.0,1002.5217224580269,3.74610236938163e-05,74.69933947680263,62.0,ariana,13.5,18.5,5.0,32,6.4
10,616.6741310465252,9.0,561.5798487217323,0.07423368538876607,0.0007411808931630713,0.0747887000822351,0.019504841870760792,31.0,29.0,30.0,1002.6229279296954,0.0006656721122120944,74.1594517033773,32.0,ariana,18.5,23.5,5.0,30,6.0
11,708.2565647125894,8.0,509.9079837079797,0.07131041800156046,0.00026108287972821415,0.06778750226941249,0.02781047338349496,30.0,29.0,29.0,1002.3227276518262,0.0001543294266398735,71.2391075835589,26.0,ariana,23.5,28.5,5.0,29,5.8
12,663.7664356435425,8.0,492.04274745104993,0.07769851605065516,-1.8123649250965377e-05,0.0747901675134035,0.026775760562678386,27.0,26.0,27.0,1002.9497616478186,4.4367089258762935e-05,77.6208175346045,38.0,ariana,28.5,33.5,5.0,27,5.4
13,559.4969251403795,8.0,416.1695337118762,0.07783498303436577,-0.0014430416164995827,0.07762250050628355,0.011881865956517856,30.0,28.0,30.0,1003.0024923702651,-0.0003987391299244799,77.7571480513314,55.0,ariana,33.5,38.5,5.0,29,5.8
14,278.55410956997844,8.0,322.4072892308989,0.08170878645230048,-0.0007893198584962821,0.08462917446380037,0.0030093794467717094,14.0,14.0,15.0,527.3072654396043,0.0009116103993972519,42.89711288745775,29.0,ariana,38.5,41.13,2.6300000000000026,15,5.703422053231933
15,831.050961018293,8.0,446.47418434237386,0.10757818355468757,0.0026867489993800636,0.10929722035724909,0.020380803641638107,29.0,29.0,29.0,1006.3552594847671,-0.00041019063703740894,107.47060537113288,49.0,carlos,5.6,10.6,5.0,29,5.8
16,704.4908211672955,8.0,459.484448355692,0.10890429088809854,-0.0015114691072706,0.10922085653331526,0.03485352799629382,27.0,27.0,28.0,1006.3641278582888,-0.0001870064026460232,108.79538659721044,53.0,carlos,10.6,15.6,5.0,28,5.6
17,641.5858109683039,8.0,501.92382497136987,0.09354604020686756,4.394953521255448e-05,0.08949025904582625,0.034829373308391365,27.0,26.0,26.0,1004.7332319335944,-1.818694719657435e-05,93.4524941666607,50.0,carlos,15.6,20.6,5.000000000000002,26,5.199999999999998
18,554.0605654756887,8.0,509.5088610166268,0.08637245945992235,0.000381148076490846,0.07906536109517484,0.03534726430261555,26.0,24.0,26.0,1004.1750795492874,-0.00011078710731061627,86.28608700046243,49.0,carlos,20.6,25.6,5.0,26,5.2
19,612.464931503569,9.0,472.9112356088055,0.09276716591333742,0.0007055679197498573,0.08659374957933108,0.038024759458027246,25.0,22.0,26.0,1004.7536776628315,-9.35315231610415e-05,92.67439874742408,44.0,carlos,25.6,30.6,5.0,24,4.8
